,File,HLA,Avg_Token_NLL,model_path
597,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAA3303_1_per_token_metrics.csv,A3303,11.954313776062417,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3303/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_1_HLAA3303_1.pt
1475,ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_HLAA3301_1_per_token_metrics.csv,A3301,11.962546961779807,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3301/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_HLAA3301_1.pt
1670,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAB4501_2_per_token_metrics.csv,B4501,11.969303271670555,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB4501/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_6_HLAB4501_2.pt
546,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB1542_2_per_token_metrics.csv,B1542,12.001605322573926,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB1542/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAB1542_2.pt
797,ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAB8301_1_per_token_metrics.csv,B8301,12.034319892711853,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB8301/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_3_HLAB8301_1.pt
1510,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAB1503_2_per_token_metrics.csv,B1503,12.088320546629976,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB1503/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAB1503_2.pt
1330,ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB4506_2_per_token_metrics.csv,B4506,12.09357428829943,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB4506/ESMMASK_epitope_FT_25_0.001_5e-05_AUG_3_HLAB4506_2.pt
598,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAA3303_2_per_token_metrics.csv,A3303,12.127818946344874,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAA3303/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_3_HLAA3303_2.pt
1486,ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAB4002_2_per_token_metrics.csv,B4002,12.195098684444904,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAB4002/ESMMASK_epitope_FT_25_0.001_1e-06_AUG_1_HLAB4002_2.pt
851,ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAC1402_2_per_token_metrics.csv,C1402,12.280778523381377,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAHLAC1402/ESMMASK_epitope_FT_20_0.001_1e-06_AUG_6_HLAC1402_2.pt
