HLA,spearman,pearsonr,mse,test_size,path,training_data,encoding,Model
B0702,0.63,0.71,1.5,108,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_1_B0702_1_0.0001_0.0001__1_B0702_0404_Hubber_B0702.csv,3724,HLA,B0702 HLA
B0702,0.62,0.69,1.5,108,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_3_B0702_1_0.0001_0.0001__1_B0702_0404_Hubber_B0702.csv,3724,epitope,B0702 epitope
B0801,0.43,0.55,0.84,52,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_3_B0801_2_0.0001_0.0001__1_B0801_0404_Hubber_B0801.csv,2374,HLA,B0801 HLA
B0801,0.43,0.52,0.9,52,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_20_0.0001_5e-05_AUG_3_B0801_1_0.0001_0.0001__1_B0801_0404_Hubber_B0801.csv,2374,epitope,B0801 epitope
B1402,0.6,0.68,2.7,6,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_20_1e-05_1e-05_AUG_3_B1402_2_0.0001_0.0001__1_B1402_0404_Hubber_B1402.csv,80,HLA,B1402 HLA
B1402,0.49,0.028,1.6,6,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_B1402_1_0.0001_0.0001__1_B1402_0404_Hubber_B1402.csv,80,epitope,B1402 epitope
B1501,0.68,0.69,0.9,22,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_15_0.001_5e-05_AUG_4_B1501_1_0.0001_0.0001__1_B1501_0404_Hubber_B1501.csv,3788,HLA,B1501 HLA
B1501,0.7,0.72,0.75,22,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_15_0.0001_5e-05_AUG_4_B1501_1_0.0001_0.0001__1_B1501_0404_Hubber_B1501.csv,3788,epitope,B1501 epitope
B1801,0.65,0.81,1.9,11,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_3_B1801_1_0.0001_0.0001__1_B1801_0404_Hubber_B1801.csv,2148,HLA,B1801 HLA
B1801,0.55,0.8,1.1,11,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_25_0.001_5e-05_AUG_4_B1801_2_0.0001_0.0001__1_B1801_0404_Hubber_B1801.csv,2148,epitope,B1801 epitope
B3801,0.19,0.071,1.8,12,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_B3801_2_0.0001_0.0001__1_B3801_0404_Hubber_B3801.csv,149,HLA,B3801 HLA
B3801,0.43,0.35,1.6,12,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_4_B3801_2_0.0001_0.0001__1_B3801_0404_Hubber_B3801.csv,149,epitope,B3801 epitope
B3901,0.084,0.26,1.1,12,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_B3901_2_0.0001_0.0001__1_B3901_0404_Hubber_B3901.csv,1341,HLA,B3901 HLA
B3901,0.063,0.063,1.4,12,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_20_0.001_1e-05_AUG_4_B3901_1_0.0001_0.0001__1_B3901_0404_Hubber_B3901.csv,1341,epitope,B3901 epitope
B4402,0.52,0.53,2.2,116,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_25_0.001_5e-05_AUG_4_B4402_1_0.0001_0.0001__1_B4402_0404_Hubber_B4402.csv,1683,HLA,B4402 HLA
B4402,0.44,0.43,2.8,116,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B4402_1_0.0001_0.0001__1_B4402_0404_Hubber_B4402.csv,1683,epitope,B4402 epitope
B4403,0.31,0.26,1.8,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_25_0.001_1e-05_AUG_4_B4403_2_0.0001_0.0001__1_B4403_0404_Hubber_B4403.csv,929,HLA,B4403 HLA
B4403,-0.071,0.46,1.4,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_B4403_2_0.0001_0.0001__1_B4403_0404_Hubber_B4403.csv,929,epitope,B4403 epitope
B5101,0.21,0.24,0.94,7,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B5101_1_0.0001_0.0001__1_B5101_0404_Hubber_B5101.csv,2243,HLA,B5101 HLA
B5101,0.75,0.69,0.47,7,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B5101_1_0.0001_0.0001__1_B5101_0404_Hubber_B5101.csv,2243,epitope,B5101 epitope
B5301,0.5,-0.24,1.1,3,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_15_0.001_5e-05_AUG_3_B5301_1_0.0001_0.0001__1_B5301_0404_Hubber_B5301.csv,1168,HLA,B5301 HLA
B5701,0.61,0.52,0.16,7,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_25_0.001_5e-05_AUG_4_B5701_1_0.0001_0.0001__1_B5701_0404_Hubber_B5701.csv,2274,epitope,B5701 epitope
