Model,HLA,spearman,pearsonr,mse,test_size,path,training_data,encoding
B4402 HLA,B4402,0.52,0.53,2.2,116,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_25_0.001_5e-05_AUG_4_B4402_1_0.0001_0.0001__1_B4402_0404_Hubber_B4402.csv,1683,HLA
A3001 epitope,A3001,0.5,0.57,1.1,10,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_A3001_1_0.0001_0.0001__1_A3001_0404_Hubber_A3001.csv,1350,epitope
B1402 epitope,B1402,0.49,0.028,1.6,6,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_1_B1402_1_0.0001_0.0001__1_B1402_0404_Hubber_B1402.csv,80,epitope
B0801 epitope,B0801,0.43,0.52,0.9,52,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_20_0.0001_5e-05_AUG_3_B0801_1_0.0001_0.0001__1_B0801_0404_Hubber_B0801.csv,2374,epitope
B3901 HLA,B3901,0.35,0.45,1.9,12,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_20_0.0001_5e-05_AUG_4_B3901_2_0.0001_0.0001__1_B3901_0404_Hubber_B3901.csv,1341,HLA
B4402 epitope,B4402,0.45,0.44,3.1,116,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B4402_1_0.0001_0.0001__1_B4402_0404_Hubber_B4402.csv,1683,epitope
B0801 HLA,B0801,0.43,0.55,0.84,52,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_3_B0801_2_0.0001_0.0001__1_B0801_0404_Hubber_B0801.csv,2374,HLA
A2601 HLA,A2601,0.4,0.26,2.0,15,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_1_A2601_1_0.0001_0.0001__1_A2601_0404_Hubber_A2601.csv,3326,HLA
B4403 HLA,B4403,0.31,0.26,1.8,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_25_0.001_1e-05_AUG_4_B4403_2_0.0001_0.0001__1_B4403_0404_Hubber_B4403.csv,929,HLA
A2402 epitope,A2402,0.36,0.33,2.4,131,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_A2402_1_0.0001_0.0001__1_A2402_0404_Hubber_A2402.csv,2477,epitope
B5301 HLA,B5301,0.5,-0.24,1.1,3,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_15_0.001_5e-05_AUG_3_B5301_1_0.0001_0.0001__1_B5301_0404_Hubber_B5301.csv,1168,HLA
A2402 HLA,A2402,0.32,0.27,2.6,131,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_15_0.001_5e-05_AUG_1_A2402_2_0.0001_0.0001__1_A2402_0404_Hubber_A2402.csv,2477,HLA
A3001 HLA,A3001,0.31,0.3,1.1,10,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.001_1e-05_AUG_3_A3001_2_0.0001_0.0001__1_A3001_0404_Hubber_A3001.csv,1350,HLA
B3901 epitope,B3901,0.063,0.063,1.4,12,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_20_0.001_1e-05_AUG_4_B3901_1_0.0001_0.0001__1_B3901_0404_Hubber_B3901.csv,1341,epitope
B4403 epitope,B4403,-0.071,0.46,1.4,8,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_25_0.0001_1e-06_AUG_4_B4403_2_0.0001_0.0001__1_B4403_0404_Hubber_B4403.csv,929,epitope
B5101 HLA,B5101,0.21,0.24,0.94,7,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_5e-05_AUG_4_B5101_1_0.0001_0.0001__1_B5101_0404_Hubber_B5101.csv,2243,HLA
B3801 HLA,B3801,0.19,0.071,1.8,12,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_B3801_2_0.0001_0.0001__1_B3801_0404_Hubber_B3801.csv,149,HLA
B4001 HLA,B4001,-1.0,-1.0,3.4,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_1_B4001_2_0.0001_0.0001__1_B4001_0404_Hubber_B4001.csv,2586,HLA
C0701 HLA,C0701,1.0,1.0,1.4,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_20_0.0001_1e-06_AUG_4_C0701_2_0.0001_0.0001__1_C0701_0404_Hubber_C0701.csv,18,HLA
A0206 HLA,A0206,1.0,1.0,0.35,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.85_30_ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_1_A0206_1_0.0001_0.0001__1_A0206_0404_Hubber_A0206.csv,5906,HLA
A3201 HLA,A3201,-1.0,-1.0,1.0,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_15_0.001_5e-05_AUG_4_A3201_1_0.0001_0.0001__1_A3201_0404_Hubber_A3201.csv,836,HLA
A6802 epitope,A6802,1.0,1.0,2.3,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_4_A6802_1_0.0001_0.0001__1_A6802_0404_Hubber_A6802.csv,6622,epitope
A6802 HLA,A6802,1.0,1.0,0.72,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.8_30_ESMMASK_HLA_FT_25_0.0001_1e-05_AUG_3_A6802_2_0.0001_0.0001__1_A6802_0404_Hubber_A6802.csv,6622,HLA
B4001 epitope,B4001,-1.0,-1.0,3.6,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_B4001_2_0.0001_0.0001__1_B4001_0404_Hubber_B4001.csv,2586,epitope
C0701 epitope,C0701,1.0,1.0,1.2,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_C0701_1_0.0001_0.0001__1_C0701_0404_Hubber_C0701.csv,18,epitope
A0206 epitope,A0206,-1.0,-1.0,0.94,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_3_A0206_2_0.0001_0.0001__1_A0206_0404_Hubber_A0206.csv,5906,epitope
A3201 epitope,A3201,1.0,1.0,1.6,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_15_0.001_1e-05_AUG_4_A3201_1_0.0001_0.0001__1_A3201_0404_Hubber_A3201.csv,836,epitope
B3501 epitope,B3501,1.0,1.0,2.8,2,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_20_0.0001_5e-05_AUG_4_B3501_2_0.0001_0.0001__1_B3501_0404_Hubber_B3501.csv,1652,epitope
