File,HLA,Avg_Token_NLL,model_path,Encoding,Model
ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_4_B3906_1_per_token_metrics.csv,B3906,5.204704817384481,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB3906/ESMMASK_HLA_FT_20_0.0001_1e-05_AUG_4_B3906_1.pt,HLA,B3906+HLA
ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_1_B2720_1_per_token_metrics.csv,B2720,5.9439244182283595,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB2720/ESMMASK_HLA_FT_25_0.0001_5e-05_AUG_1_B2720_1.pt,HLA,B2720+HLA
ESMMASK_epitope_FT_15_0.0001_5e-05_AUG_4_B0802_2_per_token_metrics.csv,B0802,5.985718369483948,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB0802/ESMMASK_epitope_FT_15_0.0001_5e-05_AUG_4_B0802_2.pt,epitope,B0802+epitope
ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_A8001_2_per_token_metrics.csv,A8001,5.9971540581721525,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA8001/ESMMASK_epitope_FT_15_0.001_1e-05_AUG_3_A8001_2.pt,epitope,A8001+epitope
ESMMASK_epitope_FT_20_0.001_5e-05_AUG_4_A3207_2_per_token_metrics.csv,A3207,6.047333697477977,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA3207/ESMMASK_epitope_FT_20_0.001_5e-05_AUG_4_A3207_2.pt,epitope,A3207+epitope
ESMMASK_HLA_FT_20_0.001_5e-05_AUG_4_B0802_2_per_token_metrics.csv,B0802,6.146679774021929,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB0802/ESMMASK_HLA_FT_20_0.001_5e-05_AUG_4_B0802_2.pt,HLA,B0802+HLA
ESMMASK_epitope_FT_20_0.001_1e-05_AUG_4_A2602_2_per_token_metrics.csv,A2602,6.295395538509845,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA2602/ESMMASK_epitope_FT_20_0.001_1e-05_AUG_4_A2602_2.pt,epitope,A2602+epitope
ESMMASK_epitope_FT_15_0.001_1e-06_AUG_4_B3909_2_per_token_metrics.csv,B3909,6.403128941853841,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB3909/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_4_B3909_2.pt,epitope,B3909+epitope
ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_3_B4801_1_per_token_metrics.csv,B4801,6.648943650977392,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB4801/ESMMASK_epitope_FT_25_0.0001_5e-05_AUG_3_B4801_1.pt,epitope,B4801+epitope
ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_3_A2603_1_per_token_metrics.csv,A2603,7.449240206967806,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA2603/ESMMASK_HLA_FT_25_0.0001_1e-06_AUG_3_A2603_1.pt,HLA,A2603+HLA
ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_A6812_1_per_token_metrics.csv,A6812,7.636138041817958,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA6812/ESMMASK_HLA_FT_15_0.0001_1e-06_AUG_4_A6812_1.pt,HLA,A6812+HLA
ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_4_B2720_1_per_token_metrics.csv,B2720,8.073927919429384,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAB2720/ESMMASK_epitope_FT_25_0.0001_1e-05_AUG_4_B2720_1.pt,epitope,B2720+epitope
ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_A0216_2_per_token_metrics.csv,A0216,8.31285977512598,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0216/ESMMASK_epitope_FT_15_0.001_1e-06_AUG_3_A0216_2.pt,epitope,A0216+epitope
ESMMASK_epitope_FT_15_1e-05_5e-05_AUG_4_C0801_2_per_token_metrics.csv,C0801,10.071963466531868,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAC0801/ESMMASK_epitope_FT_15_1e-05_5e-05_AUG_4_C0801_2.pt,epitope,C0801+epitope
ESMMASK_epitope_FT_20_1e-05_5e-05_AUG_4_A6901_2_per_token_metrics.csv,A6901,12.159409932993002,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA6901/ESMMASK_epitope_FT_20_1e-05_5e-05_AUG_4_A6901_2.pt,epitope,A6901+epitope
ESMMASK_epitope_FT_15_1e-05_1e-06_AUG_4_A0212_2_per_token_metrics.csv,A0212,inf,/global/scratch/users/sergiomar10/models/ESMC_Pretrain/HLAA0212/ESMMASK_epitope_FT_15_1e-05_1e-06_AUG_4_A0212_2.pt,epitope,A0212+epitope
