,HLA,Losses,encoding,data_prop,trained_blocks,lr_transformer,lr_regression,n_evaluations,spearman,pearsonr,mse,mae,r2,rmse,time,path,Model,rank_mse,rank_corr,rank_sum,pretrain
7236,B4402,Hubber,HLA,0.95,30,0.0001,0.0001,118,0.5058253615529171,0.4983344070432707,2.270238870475866,1.2576765423103915,-0.3160014964447135,1.506731187198256,2025-04-23 01:51:36,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_HLA_0.95_30_ESMMASK_HLA_FT_25_0.001_5e-05_AUG_4_B4402_1_0.0001_0.0001__1_B4402_0404_Hubber_B4402.csv,B4402 HLA,10.0,5.0,15.0,Pretrained
3962,B0801,Hubber,HLA,0.95,30,,2.0,53,0.5052849204931802,0.6133038320724974,0.8063106452083669,0.686556135708431,0.2980048236541057,0.8979480192128979,2025-05-29 03:50:26,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__2_B0801_0404_Hubber_B0801.csv,B0801 HLA,3.0,1.0,4.0,Not Pretrained
7393,B2703,Hubber,epitope,0.85,30,0.0001,0.0001,11,0.5,0.7757384428072494,0.0138008795864111,0.0906662074002353,0.3890941399673933,0.1174771449534381,2025-04-23 03:07:44,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.85_30_ESMMASK_epitope_FT_15_0.0001_5e-05_AUG_3_B2703_2_0.0001_0.0001__1_B2703_0404_Hubber_B2703.csv,B2703 epitope,4.0,15.0,19.0,Pretrained
2886,B4402,Hubber,epitope,0.6,30,0.0001,0.0001,118,0.4794668980411185,0.462700675769722,2.2603339748084523,1.2760247643721303,-0.3102598726491026,1.5034407121028923,2025-05-28 11:13:16,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.6_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_3_B4402_1_0.0001_0.0001__2_B4402_0404_Hubber_B4402.csv,B4402 epitope,10.0,4.0,14.0,Pretrained
449,C0401,Hubber,HLA,0.2,0,,5.0,7,0.474341649025257,0.5003190619328335,0.0772687792666601,0.1974396024431499,-0.0447556281127268,0.277972623232325,2025-05-28 19:53:30,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.2_0_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_C0401_0404_Hubber_C0401.csv,C0401 HLA,1.0,6.0,7.0,Not Pretrained
5762,B0801,Hubber,epitope,0.95,30,0.0001,0.0001,53,0.4698645484218818,0.5780672644358473,0.7822614523344597,0.7185240635332072,0.3189426811570688,0.8844554552573349,2025-05-28 21:39:53,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_epitope_0.95_30_ESMMASK_epitope_FT_20_0.0001_5e-05_AUG_3_B0801_1_0.0001_0.0001__8_B0801_0404_Hubber_B0801.csv,B0801 epitope,1.0,1.0,2.0,Pretrained
1010,B3906,Hubber,HLA,0.95,30,,4.0,13,0.4511696152621982,0.4450390473668221,1.2267480077120372,0.8252283655680143,0.0014649237984178,1.1075865689471127,2025-05-28 18:49:05,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B3906_0404_Hubber_B3906.csv,B3906 HLA,1.0,2.0,3.0,Not Pretrained
7181,C1203,Hubber,epitope,0.8,30,0.0001,0.0001,9,0.45,0.8756497762217326,0.3358317139051196,0.4322219226095412,0.2782995977069964,0.5795098911193144,2025-04-23 02:20:07,/global/scratch/users/sergiomar10/losses/ESMCBA_22042025/evaluation_ESMCBA_epitope_0.8_30_ESMMASK_epitope_FT_25_0.001_1e-06_AUG_4_C1203_1_0.0001_0.0001__1_C1203_0404_Hubber_C1203.csv,C1203 epitope,7.0,3.0,10.0,Pretrained
2450,B1542,Hubber,HLA,0.95,30,,4.0,14,0.4472135954999579,0.438272005171062,0.0101961539715205,0.0964668989181519,-0.6444879662172689,0.1009760069101592,2025-05-28 18:43:08,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.95_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__4_B1542_0404_Hubber_B1542.csv,B1542 HLA,1.0,5.0,6.0,Not Pretrained
3945,B3901,Hubber,HLA,0.8,30,,5.0,13,0.4450549450549451,0.4018941811637489,1.0504542849406846,0.914348657314594,0.1608680742635201,1.0249167209781898,2025-05-28 18:14:37,/global/scratch/users/sergiomar10/losses/ESMCBA_28062025/evaluation_ESMCBA_HLA_0.8_30_False-Full_pretraining_100000_seq_AUG_3_ALL_HLAS_0.0001_0.0001__5_B3901_0404_Hubber_B3901.csv,B3901 HLA,1.0,3.5,4.5,Not Pretrained
